file,status,policy_group,mapped_to,category,page_count,title_guess,key_topics,relevance_summary,external_context,reason
AO-No.-02-S-2025.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,24,AO-No.-02-S-2025.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO-No.-10-S-2025.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,40,Department of Social Welfare and Development aacoNC PtUPmAS,"cybersecurity, records, digital services",Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO_2015-009.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,28,AO_2015-009.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO_2018-001.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,44,AO_2018-001.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO_2019-020.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,14,AO_2019-020.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO_2024-002.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,18,AO_2024-002.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
AO_2024-003.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-AO,INTERNAL POLICY - ADMINISTRATIVE ORDER,7,AO_2024-003.pdf,unclassified,Internal Administrative Order relevant to agency-specific ICT governance and operations.,Internal governance practice treats AOs as organization-specific operational policy instruments that should be retained for evidence and auditability.,Included per rule: all AO/MC are classified as INTERNAL_POLICY.
Cybercrime Prevention Act 2012 IRR.pdf,INCLUDED,LAW,RA-10175,national_baseline,20,(NAR) VOL. 26 NO. 3/ JULY - SEPTEMBER 2015,"privacy, cybersecurity, procurement, records","Cybercrime legal framework supporting incident response, cyber investigations, and digital evidence handling.",Third-party legal commentary often highlights dual themes: cybercrime enforcement utility and free-expression concerns around cyberlibel implementation.,Mapped by filename IRR identifier.
Data Privacy Act 2012 IRR.pdf,INCLUDED,IRR,RA-10173-IRR,national_baseline,36,"[ IRR OF REPUBLIC ACT NO. 10173, August 24, 2016]","privacy, cybersecurity, records, digital services","Operational implementation guide for privacy obligations, breach response, and compliance controls.","External compliance blogs typically focus on practical obligations: lawful basis, security measures, breach response, and data subject rights operations.",Mapped by filename IRR identifier.
DICT - Department Circular No 003 s.2024.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,7,DICT - Department Circular No 003 s.2024.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
